method,file,scheme,storage_density_bits_per_nt,gc_percent,max_homopolymer,motif_percent,min_hamming_distance,mfe_mean_kcal_mol
CMC,繁体版出師表,B方案(繁转简),1.9422,50.00,2,0.0000,76,-30.60
CMC,繁体版出師表,A方案(繁体直编),1.9363,50.00,2,0.0000,81,-31.10
CMC,背影,简体存储,2.1734,50.00,2,0.0000,80,-27.80
YYC,繁体版出師表,,1.2368,54.95,4,12.7673,56,-13.00
YYC,背影,,1.2170,57.70,4,13.8078,41,-15.79
DNA Fountain,繁体版出師表,,1.0416,50.97,3,36.8248,17,-11.44
DNA Fountain,背影,,1.0407,51.29,3,36.5730,17,-12.40
HEDGES,繁体版出師表,,0.1573,50.15,4,13.0405,4,-88.59
HEDGES,背影,,0.2729,50.56,4,13.0876,4,-89.65
DRRC,繁体版出師表,,0.1594,50.36,3,38.9244,14,-3.44
DRRC,背影,,0.2373,50.34,3,38.7277,13,-2.97
