method,file,scheme,max_homopolymer,motif_total,motif_per_1000nt,min_hamming_distance,mfe_mean_kcal_mol,mfe_min_kcal_mol,mfe_max_kcal_mol
CMC,繁体版出師表,B方案(繁转简),2,0,0.00,76,-30.60,-43.9,-21.2
CMC,繁体版出師表,A方案(繁体直编),2,0,0.00,81,-31.10,-43.8,-22.0
CMC,背影,简体存储,2,0,0.00,80,-27.80,-31.2,-24.3
YYC,繁体版出師表,,4,1241,127.67,56,-13.00,-23.5,1.7
YYC,背影,,4,2368,138.08,41,-15.79,-26.9,1.5
DNA Fountain,繁体版出師表,,3,4253,368.25,17,-11.44,-21.5,-1.6
DNA Fountain,背影,,3,7337,365.73,17,-12.40,-23.9,-1.4
HEDGES,繁体版出師表,,4,9975,130.41,4,-88.59,-106.0,-73.3
HEDGES,背影,,4,10011,130.88,4,-89.65,-111.5,-73.7
DRRC,繁体版出師表,,3,29378,389.24,14,-3.44,-13.3,0.5
DRRC,背影,,3,34079,387.28,13,-2.97,-12.0,1.1
